pitcher_id,n_swings,mean_disruption_tax,mean_spatial_distortion_tax,mean_distortion_tax,mean_selection_tax,mean_distortion_share,mean_adjusted_disruption_tax,mean_miss_distortion_tax,mean_decision_cost
656412,645,-0.009184253211321386,-0.004711928369392477,-0.005921796526221149,-0.0032624566851002365,0.6036143207901679,-0.021072003383723992,-0.004290172695492437,-0.08375150877364118
592866,1518,-0.01153098536724284,-0.004429591770852946,-0.005916842375031153,-0.005614142992211688,0.6418693421611366,-0.018905692029056502,-0.0030664401189876523,-0.09723456752651483
656550,1395,-0.009893738440021107,-0.004126261397202199,-0.005901965030139911,-0.003991773409881196,0.6335243797317219,-0.020607465054399192,-0.0038376680139426233,-0.08640075700374766
701487,257,-0.011675499665212086,-0.004854866741661328,-0.005848344162326686,-0.005827155502885399,0.6031184014155865,-0.01795328619710921,-0.0032901174853384204,-0.09661636938391405
628317,1416,-0.010505606864231454,-0.004853485996837807,-0.005812431483123872,-0.004693175381107582,0.6691206572136604,-0.019924777928413843,-0.0034341721767042737,-0.08905960036764284
570632,1391,-0.009920042467489109,-0.004698851727239928,-0.005777334569910339,-0.004142707897578771,0.6227852570535553,-0.01613958605878777,-0.0025853316558197034,-0.10179243615525138
681895,117,-0.005005417436111712,-0.004442672708918703,-0.0057176163953917,0.0007121989592799887,0.6938349427007704,-0.015028158827986709,-0.0038359867190131945,-0.08713812866426573
666659,92,-0.004578558712498411,-0.0050363816633575255,-0.005697350295583869,0.0011187915830854578,0.6507856668464695,-0.016278759839497302,-0.004401739798181304,-0.07729617058374823
643410,958,-0.006802688392798734,-0.005021075636086591,-0.005630803555071661,-0.0011718848377270735,0.6763009855983917,-0.0155924182975339,-0.003432965506761715,-0.0910571561200838
621114,281,-0.008993782164415553,-0.003663500306641708,-0.005598832503972725,-0.0033949496604428276,0.6380270780925072,-0.023362650930032352,-0.0017452342971775764,-0.08109830635428542
570257,131,-0.009071339017895905,-0.004259242818052266,-0.0055958657953408195,-0.0034754732225550857,0.6470936053150793,-0.017522081422112906,-0.0016146132821377465,-0.08690514324913393
665795,1912,-0.009488741091651858,-0.004560245998271445,-0.005561784390320649,-0.003926956701331209,0.6256648018834898,-0.018917580365206008,-0.002447027782419435,-0.08965795587540161
