"pitcher_id","pitcher_full_name","pitch_type","Pitches","xRV_Residual","Distortion","Selection","pitch_label"
643410,"Mark Leiter Jr.","CU",139,-0.005,-0.001,-0.003,"Curveball"
645261,"Sandy Alcantara","SI",477,-0.005,0,-0.005,"Sinker"
656222,"Jalen Beeks","FF",561,-0.005,0,-0.004,"Four-Seam FB"
656234,"Jake Bird","SI",389,-0.005,0,-0.004,"Sinker"
656271,"Brock Burke","FF",464,-0.005,0,-0.005,"Four-Seam FB"
656427,"Jack Flaherty","FF",1252,-0.005,0,-0.005,"Four-Seam FB"
656731,"Tylor Megill","FF",759,-0.005,0,-0.005,"Four-Seam FB"
656945,"Tanner Scott","FF",744,-0.005,0,-0.005,"Four-Seam FB"
657006,"Justin Steele","FF",1059,-0.005,0,-0.005,"Four-Seam FB"
657240,"Julian Merryweather","FF",194,-0.005,0,-0.005,"Four-Seam FB"
657571,"Caleb Ferguson","FF",486,-0.005,0,-0.004,"Four-Seam FB"
658648,"Pedro Avila","SI",157,-0.005,0,-0.005,"Sinker"
663546,"Sean Hjelle","SI",348,-0.005,0,-0.005,"Sinker"
663554,"Casey Mize","SI",245,-0.005,0,-0.004,"Sinker"
663559,"Bailey Falter","SI",242,-0.005,0,-0.005,"Sinker"
663562,"Noah Davis","SI",150,-0.005,-0.001,-0.005,"Sinker"
663567,"Peter Lambert","FF",327,-0.005,0,-0.005,"Four-Seam FB"
663765,"Jake Woodford","SI",227,-0.005,-0.001,-0.005,"Sinker"
663855,"Jordan Hicks","SI",770,-0.005,0,-0.004,"Sinker"
664076,"Garrett Cleavinger","FF",159,-0.005,0,-0.005,"Four-Seam FB"
664192,"Joey Lucchesi","FF",133,-0.005,0,-0.005,"Four-Seam FB"
664208,"Phil Maton","FC",357,-0.005,0,-0.005,"Cutter"
665871,"Javier Assad","FF",256,-0.005,0,-0.005,"Four-Seam FB"
665871,"Javier Assad","SI",594,-0.005,0,-0.005,"Sinker"
666157,"Nick Lodolo","SI",504,-0.005,0,-0.005,"Sinker"
666171,"Ryan Zeferjahn","FF",174,-0.005,0,-0.005,"Four-Seam FB"
666205,"Kyle Muller","FF",321,-0.005,0,-0.005,"Four-Seam FB"
666720,"Yerry Rodríguez","FF",107,-0.005,0,-0.005,"Four-Seam FB"
668338,"Tyson Miller","FF",228,-0.005,0,-0.004,"Four-Seam FB"
668933,"Graham Ashcraft","SI",119,-0.005,0,-0.005,"Sinker"
668941,"JoJo Romero","SI",294,-0.005,0,-0.005,"Sinker"
668984,"Casey Legumina","FF",244,-0.005,0,-0.005,"Four-Seam FB"
669022,"MacKenzie Gore","FF",1762,-0.005,0,-0.005,"Four-Seam FB"
669060,"Bryse Wilson","SI",410,-0.005,0,-0.005,"Sinker"
669373,"Tarik Skubal","FF",1114,-0.005,0,-0.005,"Four-Seam FB"
669387,"Carmen Mlodzinski","FF",499,-0.005,0,-0.004,"Four-Seam FB"
669923,"George Kirby","SI",727,-0.005,0,-0.004,"Sinker"
670036,"Matt Festa","FC",111,-0.005,-0.001,-0.005,"Cutter"
